    Song Title,Streams,Daily
Voices,"24,792,451","10,04"
"Because (Changbin, Felix)","24,377,058","19,255"
I am YOU,"23,650,364","13,146"
24 to 25,"23,625,847","17,992"
ice.cream (Hyunjin),"23,576,610","14,854"
DOODLE (Changbin),"23,321,988","9,518"
Victory Song,"23,151,919","11,914"
Grow Up,"22,962,395","9,392"
Maze of Memories,"22,961,854","5,846"
SLUMP (English Ver.),"22,830,420","6,714"
miss you (Hyunjin),"22,595,680","16,762"
You Can STAY,"22,321,348","7,327"
#LoveSTAY,"22,274,155","16,643"
Awkward Silence,"22,055,468","9,494"
Love Untold (Hyunjin),"22,037,893","12,07"
In My Head,"21,908,854","102,627"
Question,"21,717,883","7,645"
Your Eyes,"21,658,305","11,08"
Boxer,"21,617,442","11,415"
Astronaut,"21,370,918","5,645"
N/S,"21,155,497","10,576"
Levanter (English Ver.),"21,124,807","4,896"
Chronosaurus,"20,884,791","12,289"
CIRCUS (Korean Ver.),"20,763,428","9,527"
* All My Life (Stray Kids Remix),"20,741,123","8,155"
Alien (HAN),"20,709,164","17,804"
Booster,"20,700,713","7,516"
THE SOUND (Korean Ver.),"20,681,456","8,023"
GO LIVE,"20,487,211","6,13"
I GOT IT (HAN),"20,347,902","12,293"
"ZONE (Bang Chan, Changbin, HAN)","20,224,457","13,503"
Ghost,"20,177,799","108,646"
Hello Stranger,"20,147,707","8,329"
Hug Me (I.N),"19,835,369","12,392"
Phoenix,"19,792,827","92,643"
NIGHT,"19,691,454","19,362"
Lost Me,"19,488,190","9,779"
Awkward Silence,"19,372,708","4,102"
CASE 143 -Japanese ver.-,"19,129,538","7,512"
Half Time,"18,893,852","93,337"
Boxer,"18,796,817","3,954"
801,"18,760,868","94,246"
Battle Ground,"18,728,798","9,631"
RUN (HAN),"18,607,926","10,614"
Chronosaurus,"18,429,916","4,461"
19,"18,113,910","9,359"
STOP,"17,867,045","6,174"
Close (HAN),"17,847,198","10,881"
Spread My Wings,"17,644,586","7,65"
Super Bowl -Japanese ver.-,"17,562,821","6,476"
YAYAYA,"17,456,169","7,899"
Maze of Memories,"17,371,480","8,504"
Wish You Back (HAN),"17,202,378","11,547"
Streetlight (Changbin),"17,184,212","12,202"
Grow Up,"16,785,646","3,872"
19,"16,749,476","4,205"
M.I.A.,"16,648,852","3,289"
Astronaut,"16,535,192","6,834"
MESS,"16,485,757","66,941"
Levanter,"16,431,631","8,853"
Hero's Soup,"16,344,203","4,985"
Fairytale,"16,209,444","6,067"
GLOW,"16,195,162","5,234"
Hoodie Season,"16,191,198","9,996"
Question,"16,152,116","3,242"
Mixtape#2,"16,025,271","3,456"
Novel,"15,993,691","7,92"
Insomnia,"15,794,386","7,664"
GIANT (Korean Ver.),"15,742,043","23,806"
Walkin On Water (HIP Ver.),"15,580,006","20,797"
BEWARE,"15,178,289","3,44"
Spread My Wings,"15,150,041","4,019"
Do It,"15,133,058","1,870,996"
School Life,"15,132,640","5,467"
M.I.A.,"14,988,038","9,655"
Christmas Love,"14,654,921","29,057"
HaPpY (HAN),"14,612,915","9,373"
3rd Eye,"14,539,523","3,573"
Road Not Taken,"14,488,079","3,786"
"Piece of a Puzzle (Changbin, Seungmin)","14,312,867","9,346"
3rd Eye,"14,284,379","9,048"
ROCK,"14,211,182","6,4"
Mirror,"13,921,541","3,142"
* In The Dark (with Stray Kids),"13,734,563","375,373"
YAYAYA,"13,668,661","3,795"
CALL,"13,628,705","4,525"
ソリクン -Japanese ver.-,"13,572,744","4,885"
Mirror,"13,569,930","7,766"
Parade,"13,323,160","32,722"
TMT,"13,287,798","5,474"
Mixtape#4,"13,141,301","2,899"
Placebo,"13,075,286","5,674"
Behind The Light,"13,005,461","7,268"
325,"12,943,111","6,76"
WHO?,"12,740,199","3,571"
Scars (Korean Ver.),"12,637,764","4,921"
4419,"12,577,087","4,895"
BEWARE,"12,561,046","5,358"
My Side,"12,530,462","2,914"
Saiyan,"12,441,517","19,616"
Awaken,"12,139,576","5,737"
Falling Up -English ver.-,"12,057,489","13,62"
* Like Magic,"11,980,539","7,272"
Broken Compass,"11,945,842","8,015"
CEREMONY (English Version),"11,898,679","44,618"
TMT,"11,839,700","2,327"
Mixtape#1,"11,749,779","2,732"
Mixtape#3,"11,615,996","2,949"
ROCK,"11,570,832","2,891"
325,"11,554,833","3,291"
ALL IN (Korean Ver.),"11,457,897","3,52"
MANIAC -Japanese ver.-,"11,386,761","3,865"
CEREMONY (Festival Version),"11,249,147","41,142"
For You,"11,181,599","6,021"
YOU.,"10,728,273","3,011"
愛をくれたのに、なぜ,"10,682,707","13,625"
Awaken,"10,606,295","2,834"
My Side,"10,332,944","5,921"
just a little,"10,112,003","26,132"
NOT!,"9,784,767","3,183"
DIVINE,"9,546,684","1,129,471"
Never Alone,"9,477,262","25,789"
One Day,"9,348,679","3,83"
CHILL -Japanese ver.-,"9,281,956","4,171"
Double Knot (English Ver.),"9,232,110","2,192"
NIGHT -English ver.-,"8,929,353","10,012"
宿命,"8,748,179","23,632"
Entrance,"8,729,806","2,43"
Silent Cry -Japanese ver.-,"8,577,806","3,629"
Chk Chk Boom -Japanese ver.-,"8,093,174","8,731"
TOP (English Ver.),"7,601,763","2,287"
蜘蛛の糸 (VENOM) -Japanese ver.-,"6,820,491","2,57"
神メニュー -Japanese ver.-,"6,738,103","2,287"
Back Door -Japanese ver.-,"6,180,270","2,391"
Holiday,"5,804,596","638,384"
Photobook,"4,981,792","486,852"
Walkin On Water (Sleigh Ver.),"4,329,384","9,162"
Chk Chk Boom (Heatwave Ver.),"4,076,387","1,58"
* Going Dumb (with Stray Kids) [Mike Williams Remix],"4,010,175","2,964"
My Pace Japanese version,"3,991,003","1,356"
Walkin On Water (Sway Ver.),"3,907,340","4,147"
Chk Chk Boom (Deadeye Ver.),"3,904,607","1,62"
Lose My Breath (Feat. Charlie Puth) (Instrumental),"3,859,701","1,365"
Do It (Festival Version),"3,809,863","338,826"
Double Knot Japanese version,"3,463,793",922
Lose My Breath (Feat. Charlie Puth) (Soft Garage Ver.),"3,419,010","1,788"
Walkin On Water (Sped Up Ver.),"3,205,623","3,346"
Come Play (Kordhell Remix) (from the series Arcane League of Legends),"2,839,000","3,896"
Chk Chk Boom (Instrumental),"2,520,637","1,536"
Levanter Japanese version,"2,374,066",985
"NIGHT (from ""Tower of God: WORKSHOP BATTLE"") (Korean ver.)","1,932,694","1,792"
CEREMONY (Hip Hip Version - English Version),"1,788,388","9,934"
CEREMONY (KARMA Version),"1,732,414","2,53"
"Falling Up (from ""Tower of God: WORKSHOP BATTLE"") (Korean ver.)","1,724,117","1,856"
MIROH,"1,533,641",411
끝나지 않을 이야기 (Inst.),"1,421,271",463
CEREMONY (Hooray Version - English Version),"1,354,897","9,551"
CEREMONY (Festival Version - English Version),"1,255,207","8,854"
Question,"1,189,521",153
Walkin On Water (Instrumental),"1,181,130","1,151"
CEREMONY (Slowed Down Version),"1,117,944","1,056"
CEREMONY (Sped Up Version),"1,114,995","1,185"
CEREMONY (Instrumental),"1,038,322","1,169"
Social Path (Instrumental),"933,181",806
Boxer,"897,705",97
Awkward Silence,"862,837",150
SLUMP (Instrumental),"861,03",316
Butterflies (Instrumental),"854,935",709
YAYAYA,"817,415",109
Hellevator,"806,657",183
District 9,"769,182",230
TMT,"763,189",164
Spread My Wings,"762,696",166
Voices,"737,104",93
TOP (Instrumental),"712,595",317
Hello Stranger (inst.),"639,212",254
Grrr,"592,25",100
Side Effects,"546,685",111
M.I.A.,"543,423",64
Mirror,"512,377",54
My Pace,"490,801",246
Victory Song,"449,221",95
Chronosaurus,"445,198",62
Grow Up,"429,998",157
19,"429,15",43
Get Cool,"377,39",86
Astronaut,"373,935",103
Do It (Overdrive Version),"318,287",
I am YOU,"305,83",88
Do It (Turbo Version),"274,294",
Levanter,"189,735",55
Do It (Sped Up),"123,237",
Do It (Slowed Down),"113,512",
Do It (Instrumental),"112,048",
